degree,category
degree,category
10th,School
12th,School
SSC,School
HSC,School
High School,School
Intermediate,School
Diploma,Diploma
Polytechnic,Diploma
ITI,Diploma
B.Tech,Bachelor
Bachelor of Technology,Bachelor
B.E,Bachelor
Bachelor of Engineering,Bachelor
BCA,Bachelor
Bachelor of Computer Applications,Bachelor
B.Sc,Bachelor
Bachelor of Science,Bachelor
B.Com,Bachelor
Bachelor of Commerce,Bachelor
BA,Bachelor
Bachelor of Arts,Bachelor
BBA,Bachelor
Bachelor of Business Administration,Bachelor
LLB,Bachelor
MBBS,Bachelor
BDS,Bachelor
B.Pharm,Bachelor
B.Arch,Bachelor
M.Tech,Master
Master of Technology,Master
M.E,Master
Master of Engineering,Master
MCA,Master
Master of Computer Applications,Master
M.Sc,Master
Master of Science,Master
MBA,Master
Master of Business Administration,Master
M.Com,Master
MA,Master
LLM,Master
M.Pharm,Master
PhD,Doctorate
Doctor of Philosophy,Doctorate
B-Tech,Bachelor
B Tech,Bachelor
BTech,Bachelor
B.Tech,Bachelor
B. Tech,Bachelor
Bachelor of Technology,Bachelor
M-Tech,Master
M Tech,Master
MTech,Master
M.Tech,Master
M. Tech,Master
Master of Technology,Master
B-E,Bachelor
B E,Bachelor
BE,Bachelor
B.E,Bachelor
Bachelor of Engineering,Bachelor
M-E,Master
M E,Master
ME,Master
M.E,Master
Master of Engineering,Master
